"","Order","Family","Tissue_Type","Country","n","Mean","CV","Year_Range","Range"
"1","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Body_Hg_ppm","Peru",71,"2.407 ± 2.106",87.489,"2009—2019","0.38—8.057"
"2","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Blood_Hg_ppm","Dominican Republic",1,"0.081",NA,"2017","NA"
"3","Caprimulgiformes","Apodidae (Swifts)","Body_Hg_ppm","Dominican Republic",5,"0.801 ± 0.609",76.107,"2018","0.359—1.653"
"4","Caprimulgiformes","Apodidae (Swifts)","Tail_Hg_ppm","Dominican Republic",5,"0.717 ± 0.495",69.047,"2018","0.295—1.337"
"5","Caprimulgiformes","Caprimulgidae (Nightjars and Allies)","Blood_Hg_ppm","Belize",4,"0.186 ± 0.168",90.432,"2021—2023","0.036—0.428"
"6","Caprimulgiformes","Caprimulgidae (Nightjars and Allies)","Blood_Hg_ppm","Colombia",4,"0.186 ± 0.168",90.432,"2021—2023","0.036—0.428"
"7","Caprimulgiformes","Caprimulgidae (Nightjars and Allies)","Body_Hg_ppm","Belize",7,"1.76 ± 1.15",65.369,"2019—2023","0.452—3.353"
"8","Caprimulgiformes","Caprimulgidae (Nightjars and Allies)","Body_Hg_ppm","Colombia",7,"1.76 ± 1.15",65.369,"2019—2023","0.452—3.353"
"9","Caprimulgiformes","Caprimulgidae (Nightjars and Allies)","Body_Hg_ppm","Peru",7,"1.76 ± 1.15",65.369,"2019—2023","0.452—3.353"
"10","Caprimulgiformes","Caprimulgidae (Nightjars and Allies)","Tail_Hg_ppm","Belize",2,"0.475 ± 0.381",80.149,"2019—2021","0.206—0.744"
"11","Caprimulgiformes","Caprimulgidae (Nightjars and Allies)","Tail_Hg_ppm","Peru",2,"0.475 ± 0.381",80.149,"2019—2021","0.206—0.744"
"12","Caprimulgiformes","Trochilidae (Hummingbirds)","Body_Hg_ppm","Peru",11,"1.714 ± 1.004",58.562,"2019","0.072—3.49"
"13","Caprimulgiformes","Trochilidae (Hummingbirds)","Tail_Hg_ppm","Peru",19,"0.959 ± 0.508",53.019,"2018—2019","0.314—2.276"
"14","Charadriiformes","Jacanidae (Jacanas)","Blood_Hg_ppm","Colombia",6,"0.427 ± 0.514",120.406,"2012—2023","0.017—1.414"
"15","Charadriiformes","Jacanidae (Jacanas)","Blood_Hg_ppm","Mexico",6,"0.427 ± 0.514",120.406,"2012—2023","0.017—1.414"
"16","Charadriiformes","Jacanidae (Jacanas)","Blood_Hg_ppm","Nicaragua",6,"0.427 ± 0.514",120.406,"2012—2023","0.017—1.414"
"17","Charadriiformes","Jacanidae (Jacanas)","Body_Hg_ppm","Colombia",3,"18.271 ± 2.321",12.705,"2019—2023","15.706—20.227"
"18","Charadriiformes","Jacanidae (Jacanas)","Body_Hg_ppm","Peru",3,"18.271 ± 2.321",12.705,"2019—2023","15.706—20.227"
"19","Charadriiformes","Jacanidae (Jacanas)","Tail_Hg_ppm","Nicaragua",16,"0.919 ± 0.673",73.246,"2012—2014","0.102—2.407"
"20","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Blood_Hg_ppm","Dominican Republic",1,"0.26",NA,"2017","NA"
"21","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Blood_Hg_ppm","Belize",9,"0.309 ± 0.29",93.754,"2014—2021","0.018—0.741"
"22","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Blood_Hg_ppm","Dominican Republic",9,"0.309 ± 0.29",93.754,"2014—2021","0.018—0.741"
"23","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Blood_Hg_ppm","Nicaragua",9,"0.309 ± 0.29",93.754,"2014—2021","0.018—0.741"
"24","Columbiformes","Columbidae (Pigeons and Doves)","Blood_Hg_ppm","Belize",16,"0.002 ± 0.002",93.163,"2009—2023","0.001—0.008"
"25","Columbiformes","Columbidae (Pigeons and Doves)","Blood_Hg_ppm","Colombia",16,"0.002 ± 0.002",93.163,"2009—2023","0.001—0.008"
"26","Columbiformes","Columbidae (Pigeons and Doves)","Blood_Hg_ppm","Dominican Republic",16,"0.002 ± 0.002",93.163,"2009—2023","0.001—0.008"
"27","Columbiformes","Columbidae (Pigeons and Doves)","Blood_Hg_ppm","Mexico",16,"0.002 ± 0.002",93.163,"2009—2023","0.001—0.008"
"28","Columbiformes","Columbidae (Pigeons and Doves)","Blood_Hg_ppm","Puerto Rico",16,"0.002 ± 0.002",93.163,"2009—2023","0.001—0.008"
"29","Columbiformes","Columbidae (Pigeons and Doves)","Body_Hg_ppm","Belize",23,"0.132 ± 0.162",122.78,"2019—2023","0.004—0.753"
"30","Columbiformes","Columbidae (Pigeons and Doves)","Body_Hg_ppm","Colombia",23,"0.132 ± 0.162",122.78,"2019—2023","0.004—0.753"
"31","Columbiformes","Columbidae (Pigeons and Doves)","Body_Hg_ppm","Peru",23,"0.132 ± 0.162",122.78,"2019—2023","0.004—0.753"
"32","Columbiformes","Columbidae (Pigeons and Doves)","Tail_Hg_ppm","Belize",16,"0.073 ± 0.091",124.997,"2010—2021","0.001—0.334"
"33","Columbiformes","Columbidae (Pigeons and Doves)","Tail_Hg_ppm","Costa Rica",16,"0.073 ± 0.091",124.997,"2010—2021","0.001—0.334"
"34","Columbiformes","Columbidae (Pigeons and Doves)","Tail_Hg_ppm","Mexico",16,"0.073 ± 0.091",124.997,"2010—2021","0.001—0.334"
"35","Columbiformes","Columbidae (Pigeons and Doves)","Tail_Hg_ppm","Nicaragua",16,"0.073 ± 0.091",124.997,"2010—2021","0.001—0.334"
"36","Columbiformes","Columbidae (Pigeons and Doves)","Tail_Hg_ppm","Peru",16,"0.073 ± 0.091",124.997,"2010—2021","0.001—0.334"
"37","Coraciiformes","Alcedinidae (Kingfishers)","Blood_Hg_ppm","Belize",38,"0.542 ± 0.597",110.123,"2007—2023","0.02—3.112"
"38","Coraciiformes","Alcedinidae (Kingfishers)","Blood_Hg_ppm","Colombia",38,"0.542 ± 0.597",110.123,"2007—2023","0.02—3.112"
"39","Coraciiformes","Alcedinidae (Kingfishers)","Blood_Hg_ppm","Costa Rica",38,"0.542 ± 0.597",110.123,"2007—2023","0.02—3.112"
"40","Coraciiformes","Alcedinidae (Kingfishers)","Blood_Hg_ppm","Nicaragua",38,"0.542 ± 0.597",110.123,"2007—2023","0.02—3.112"
"41","Coraciiformes","Alcedinidae (Kingfishers)","Body_Hg_ppm","Belize",22,"23.958 ± 20.083",83.829,"2019—2023","1.718—72.795"
"42","Coraciiformes","Alcedinidae (Kingfishers)","Body_Hg_ppm","Colombia",22,"23.958 ± 20.083",83.829,"2019—2023","1.718—72.795"
"43","Coraciiformes","Alcedinidae (Kingfishers)","Body_Hg_ppm","Peru",22,"23.958 ± 20.083",83.829,"2019—2023","1.718—72.795"
"44","Coraciiformes","Alcedinidae (Kingfishers)","Tail_Hg_ppm","Belize",36,"6.128 ± 6.478",105.704,"2007—2021","1.299—25.841"
"45","Coraciiformes","Alcedinidae (Kingfishers)","Tail_Hg_ppm","Costa Rica",36,"6.128 ± 6.478",105.704,"2007—2021","1.299—25.841"
"46","Coraciiformes","Alcedinidae (Kingfishers)","Tail_Hg_ppm","Nicaragua",36,"6.128 ± 6.478",105.704,"2007—2021","1.299—25.841"
"47","Coraciiformes","Alcedinidae (Kingfishers)","Tail_Hg_ppm","Panama",36,"6.128 ± 6.478",105.704,"2007—2021","1.299—25.841"
"48","Coraciiformes","Momotidae (Motmots)","Blood_Hg_ppm","Belize",1,"0.036",NA,"2021","NA"
"49","Coraciiformes","Momotidae (Motmots)","Body_Hg_ppm","Belize",8,"1.504 ± 1.12",74.521,"2019—2021","0.227—3.656"
"50","Coraciiformes","Momotidae (Motmots)","Body_Hg_ppm","Peru",8,"1.504 ± 1.12",74.521,"2019—2021","0.227—3.656"
"51","Coraciiformes","Momotidae (Motmots)","Tail_Hg_ppm","Belize",5,"1.856 ± 3.221",173.509,"2010—2021","0.147—7.585"
"52","Coraciiformes","Momotidae (Motmots)","Tail_Hg_ppm","Costa Rica",5,"1.856 ± 3.221",173.509,"2010—2021","0.147—7.585"
"53","Coraciiformes","Momotidae (Motmots)","Tail_Hg_ppm","Peru",5,"1.856 ± 3.221",173.509,"2010—2021","0.147—7.585"
"54","Coraciiformes","Todidae (Todies)","Blood_Hg_ppm","Dominican Republic",1,"0.097",NA,"2017","NA"
"55","Cuculiformes","Cuculidae (Cuckoos)","Blood_Hg_ppm","Dominican Republic",6,"0.139 ± 0.102",73.4,"2012—2017","0.007—0.269"
"56","Cuculiformes","Cuculidae (Cuckoos)","Blood_Hg_ppm","Nicaragua",6,"0.139 ± 0.102",73.4,"2012—2017","0.007—0.269"
"57","Cuculiformes","Cuculidae (Cuckoos)","Body_Hg_ppm","Belize",10,"0.913 ± 0.315",34.535,"2019—2021","0.445—1.603"
"58","Cuculiformes","Cuculidae (Cuckoos)","Body_Hg_ppm","Peru",10,"0.913 ± 0.315",34.535,"2019—2021","0.445—1.603"
"59","Falconiformes","Falconidae (Falcons and Caracaras)","Body_Hg_ppm","Peru",36,"5.153 ± 4.333",84.1,"2009—2019","0.374—19.887"
"60","Galbuliformes","Bucconidae (Puffbirds)","Body_Hg_ppm","Peru",3,"0.353 ± 0.316",89.534,"2019","0.154—0.717"
"61","Galbuliformes","Bucconidae (Puffbirds)","Tail_Hg_ppm","Costa Rica",3,"0.512 ± 0.503",98.268,"2010—2018","0.15—1.086"
"62","Galbuliformes","Bucconidae (Puffbirds)","Tail_Hg_ppm","Peru",3,"0.512 ± 0.503",98.268,"2010—2018","0.15—1.086"
"63","Galbuliformes","Galbulidae (Jacamars)","Blood_Hg_ppm","Belize",1,"0.063",NA,"2021","NA"
"64","Galbuliformes","Galbulidae (Jacamars)","Body_Hg_ppm","Belize",8,"3.568 ± 2.206",61.837,"2019—2021","0.933—5.776"
"65","Galbuliformes","Galbulidae (Jacamars)","Body_Hg_ppm","Peru",8,"3.568 ± 2.206",61.837,"2019—2021","0.933—5.776"
"66","Galbuliformes","Galbulidae (Jacamars)","Tail_Hg_ppm","Belize",2,"1.49 ± 1.056",70.845,"2018—2021","0.744—2.237"
"67","Galbuliformes","Galbulidae (Jacamars)","Tail_Hg_ppm","Peru",2,"1.49 ± 1.056",70.845,"2018—2021","0.744—2.237"
