"","Primary_Habitat","Tissue_Type","n_Species","n","Mean","CV","Country","Year_Range","Range"
"1","Aquatic","Blood_Hg_ppm",15,65,"0.457 ± 0.514",112.537,"Belize","2007—2023","0.017—3.112"
"2","Aquatic","Blood_Hg_ppm",15,65,"0.457 ± 0.514",112.537,"Colombia","2007—2023","0.017—3.112"
"3","Aquatic","Blood_Hg_ppm",15,65,"0.457 ± 0.514",112.537,"Costa Rica","2007—2023","0.017—3.112"
"4","Aquatic","Blood_Hg_ppm",15,65,"0.457 ± 0.514",112.537,"Dominican Republic","2007—2023","0.017—3.112"
"5","Aquatic","Blood_Hg_ppm",15,65,"0.457 ± 0.514",112.537,"Mexico","2007—2023","0.017—3.112"
"6","Aquatic","Blood_Hg_ppm",15,65,"0.457 ± 0.514",112.537,"Nicaragua","2007—2023","0.017—3.112"
"7","Aquatic","Body_Hg_ppm",8,30,"19.993 ± 18.761",93.841,"Belize","2019—2023","1.22—72.795"
"8","Aquatic","Body_Hg_ppm",8,30,"19.993 ± 18.761",93.841,"Colombia","2019—2023","1.22—72.795"
"9","Aquatic","Body_Hg_ppm",8,30,"19.993 ± 18.761",93.841,"Peru","2019—2023","1.22—72.795"
"10","Aquatic","Tail_Hg_ppm",7,54,"4.432 ± 5.812",131.125,"Belize","2007—2021","0.102—25.841"
"11","Aquatic","Tail_Hg_ppm",7,54,"4.432 ± 5.812",131.125,"Costa Rica","2007—2021","0.102—25.841"
"12","Aquatic","Tail_Hg_ppm",7,54,"4.432 ± 5.812",131.125,"Mexico","2007—2021","0.102—25.841"
"13","Aquatic","Tail_Hg_ppm",7,54,"4.432 ± 5.812",131.125,"Nicaragua","2007—2021","0.102—25.841"
"14","Aquatic","Tail_Hg_ppm",7,54,"4.432 ± 5.812",131.125,"Panama","2007—2021","0.102—25.841"
"15","Grassland/scrub","Blood_Hg_ppm",28,113,"0.064 ± 0.104",163.348,"Belize","2007—2023","0.001—0.699"
"16","Grassland/scrub","Blood_Hg_ppm",28,113,"0.064 ± 0.104",163.348,"Colombia","2007—2023","0.001—0.699"
"17","Grassland/scrub","Blood_Hg_ppm",28,113,"0.064 ± 0.104",163.348,"Costa Rica","2007—2023","0.001—0.699"
"18","Grassland/scrub","Blood_Hg_ppm",28,113,"0.064 ± 0.104",163.348,"Dominican Republic","2007—2023","0.001—0.699"
"19","Grassland/scrub","Blood_Hg_ppm",28,113,"0.064 ± 0.104",163.348,"Mexico","2007—2023","0.001—0.699"
"20","Grassland/scrub","Blood_Hg_ppm",28,113,"0.064 ± 0.104",163.348,"Nicaragua","2007—2023","0.001—0.699"
"21","Grassland/scrub","Blood_Hg_ppm",28,113,"0.064 ± 0.104",163.348,"Puerto Rico","2007—2023","0.001—0.699"
"22","Grassland/scrub","Body_Hg_ppm",26,72,"2.175 ± 5.04",231.753,"Belize","2011—2023","0.001—28.494"
"23","Grassland/scrub","Body_Hg_ppm",26,72,"2.175 ± 5.04",231.753,"Colombia","2011—2023","0.001—28.494"
"24","Grassland/scrub","Body_Hg_ppm",26,72,"2.175 ± 5.04",231.753,"Dominican Republic","2011—2023","0.001—28.494"
"25","Grassland/scrub","Body_Hg_ppm",26,72,"2.175 ± 5.04",231.753,"Peru","2011—2023","0.001—28.494"
"26","Grassland/scrub","Tail_Hg_ppm",18,66,"0.589 ± 1.173",199.21,"Belize","2010—2021","0.001—5.165"
"27","Grassland/scrub","Tail_Hg_ppm",18,66,"0.589 ± 1.173",199.21,"Costa Rica","2010—2021","0.001—5.165"
"28","Grassland/scrub","Tail_Hg_ppm",18,66,"0.589 ± 1.173",199.21,"Dominican Republic","2010—2021","0.001—5.165"
"29","Grassland/scrub","Tail_Hg_ppm",18,66,"0.589 ± 1.173",199.21,"Mexico","2010—2021","0.001—5.165"
"30","Grassland/scrub","Tail_Hg_ppm",18,66,"0.589 ± 1.173",199.21,"Nicaragua","2010—2021","0.001—5.165"
"31","Grassland/scrub","Tail_Hg_ppm",18,66,"0.589 ± 1.173",199.21,"Panama","2010—2021","0.001—5.165"
