"","Order","Tissue_Type","Country","n","Mean","CV","Year_Range","Range"
"1","Accipitriformes","Body_Hg_ppm","Peru",71,"2.407 ± 2.106",87.489,"2009—2019","0.38—8.057"
"2","Anseriformes","Blood_Hg_ppm","Dominican Republic",1,"0.081",NA,"2017","NA"
"3","Caprimulgiformes","Blood_Hg_ppm","Belize",4,"0.186 ± 0.168",90.432,"2021—2023","0.036—0.428"
"4","Caprimulgiformes","Blood_Hg_ppm","Colombia",4,"0.186 ± 0.168",90.432,"2021—2023","0.036—0.428"
"5","Caprimulgiformes","Body_Hg_ppm","Belize",23,"1.53 ± 1.02",66.711,"2018—2023","0.072—3.49"
"6","Caprimulgiformes","Body_Hg_ppm","Colombia",23,"1.53 ± 1.02",66.711,"2018—2023","0.072—3.49"
"7","Caprimulgiformes","Body_Hg_ppm","Dominican Republic",23,"1.53 ± 1.02",66.711,"2018—2023","0.072—3.49"
"8","Caprimulgiformes","Body_Hg_ppm","Peru",23,"1.53 ± 1.02",66.711,"2018—2023","0.072—3.49"
"9","Caprimulgiformes","Tail_Hg_ppm","Belize",26,"0.875 ± 0.504",57.617,"2018—2021","0.206—2.276"
"10","Caprimulgiformes","Tail_Hg_ppm","Dominican Republic",26,"0.875 ± 0.504",57.617,"2018—2021","0.206—2.276"
"11","Caprimulgiformes","Tail_Hg_ppm","Peru",26,"0.875 ± 0.504",57.617,"2018—2021","0.206—2.276"
"12","Charadriiformes","Blood_Hg_ppm","Belize",16,"0.35 ± 0.37",105.616,"2012—2023","0.017—1.414"
"13","Charadriiformes","Blood_Hg_ppm","Colombia",16,"0.35 ± 0.37",105.616,"2012—2023","0.017—1.414"
"14","Charadriiformes","Blood_Hg_ppm","Dominican Republic",16,"0.35 ± 0.37",105.616,"2012—2023","0.017—1.414"
"15","Charadriiformes","Blood_Hg_ppm","Mexico",16,"0.35 ± 0.37",105.616,"2012—2023","0.017—1.414"
"16","Charadriiformes","Blood_Hg_ppm","Nicaragua",16,"0.35 ± 0.37",105.616,"2012—2023","0.017—1.414"
"17","Charadriiformes","Body_Hg_ppm","Colombia",3,"18.271 ± 2.321",12.705,"2019—2023","15.706—20.227"
"18","Charadriiformes","Body_Hg_ppm","Peru",3,"18.271 ± 2.321",12.705,"2019—2023","15.706—20.227"
"19","Charadriiformes","Tail_Hg_ppm","Nicaragua",16,"0.919 ± 0.673",73.246,"2012—2014","0.102—2.407"
"20","Columbiformes","Blood_Hg_ppm","Belize",16,"0.002 ± 0.002",93.163,"2009—2023","0.001—0.008"
"21","Columbiformes","Blood_Hg_ppm","Colombia",16,"0.002 ± 0.002",93.163,"2009—2023","0.001—0.008"
"22","Columbiformes","Blood_Hg_ppm","Dominican Republic",16,"0.002 ± 0.002",93.163,"2009—2023","0.001—0.008"
"23","Columbiformes","Blood_Hg_ppm","Mexico",16,"0.002 ± 0.002",93.163,"2009—2023","0.001—0.008"
"24","Columbiformes","Blood_Hg_ppm","Puerto Rico",16,"0.002 ± 0.002",93.163,"2009—2023","0.001—0.008"
"25","Columbiformes","Body_Hg_ppm","Belize",23,"0.132 ± 0.162",122.78,"2019—2023","0.004—0.753"
"26","Columbiformes","Body_Hg_ppm","Colombia",23,"0.132 ± 0.162",122.78,"2019—2023","0.004—0.753"
"27","Columbiformes","Body_Hg_ppm","Peru",23,"0.132 ± 0.162",122.78,"2019—2023","0.004—0.753"
"28","Columbiformes","Tail_Hg_ppm","Belize",16,"0.073 ± 0.091",124.997,"2010—2021","0.001—0.334"
"29","Columbiformes","Tail_Hg_ppm","Costa Rica",16,"0.073 ± 0.091",124.997,"2010—2021","0.001—0.334"
"30","Columbiformes","Tail_Hg_ppm","Mexico",16,"0.073 ± 0.091",124.997,"2010—2021","0.001—0.334"
"31","Columbiformes","Tail_Hg_ppm","Nicaragua",16,"0.073 ± 0.091",124.997,"2010—2021","0.001—0.334"
"32","Columbiformes","Tail_Hg_ppm","Peru",16,"0.073 ± 0.091",124.997,"2010—2021","0.001—0.334"
"33","Coraciiformes","Blood_Hg_ppm","Belize",40,"0.518 ± 0.591",114.008,"2007—2023","0.02—3.112"
"34","Coraciiformes","Blood_Hg_ppm","Colombia",40,"0.518 ± 0.591",114.008,"2007—2023","0.02—3.112"
