"","Order","Family","Species_Common_Name","Species_Latin_Name","Tissue_Type","Country","n","Mean","CV","Year_Range","Range"
"1","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Bicolored Hawk","Accipiter bicolor","Body_Hg_ppm","Peru",2,"7.621 ± 0.295",3.871,"2009—2010","7.412—7.829"
"2","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Black-faced Hawk","Leucopternis melanops","Body_Hg_ppm","Peru",1,"6.019",NA,"2011","NA"
"3","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Great Black Hawk","Buteogallus urubitinga","Body_Hg_ppm","Peru",2,"2.862 ± 0.599",20.927,"2010—2011","2.438—3.285"
"4","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Ornate Hawk-Eagle","Spizaetus ornatus","Body_Hg_ppm","Peru",1,"0.989",NA,"2010","NA"
"5","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Roadside Hawk","Rupornis magnirostris","Body_Hg_ppm","Peru",44,"1.36 ± 0.696",51.16,"2009—2019","0.38—3.208"
"6","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Slate-colored Hawk","Buteogallus schistaceus","Body_Hg_ppm","Peru",16,"3.153 ± 2.039",64.665,"2009—2011","1.378—7.675"
"7","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","White-browed Hawk","Leucopternis kuhli","Body_Hg_ppm","Peru",5,"6.535 ± 1.922",29.409,"2009—2011","3.251—8.057"
"8","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","West Indian Whistling-Duck","Dendrocygna arborea","Blood_Hg_ppm","Dominican Republic",1,"0.081",NA,"2017","NA"
"9","Caprimulgiformes","Apodidae (Swifts)","Antillean Palm-Swift","Tachornis phoenicobia","Body_Hg_ppm","Dominican Republic",5,"0.801 ± 0.609",76.107,"2018","0.359—1.653"
"10","Caprimulgiformes","Apodidae (Swifts)","Antillean Palm-Swift","Tachornis phoenicobia","Tail_Hg_ppm","Dominican Republic",5,"0.717 ± 0.495",69.047,"2018","0.295—1.337"
"11","Caprimulgiformes","Caprimulgidae (Nightjars and Allies)","Common Pauraque","Nyctidromus albicollis","Blood_Hg_ppm","Belize",4,"0.186 ± 0.168",90.432,"2021—2023","0.036—0.428"
"12","Caprimulgiformes","Caprimulgidae (Nightjars and Allies)","Common Pauraque","Nyctidromus albicollis","Blood_Hg_ppm","Colombia",4,"0.186 ± 0.168",90.432,"2021—2023","0.036—0.428"
"13","Caprimulgiformes","Caprimulgidae (Nightjars and Allies)","Common Pauraque","Nyctidromus albicollis","Body_Hg_ppm","Belize",6,"1.929 ± 1.161",60.194,"2019—2023","0.452—3.353"
"14","Caprimulgiformes","Caprimulgidae (Nightjars and Allies)","Common Pauraque","Nyctidromus albicollis","Body_Hg_ppm","Colombia",6,"1.929 ± 1.161",60.194,"2019—2023","0.452—3.353"
"15","Caprimulgiformes","Caprimulgidae (Nightjars and Allies)","Common Pauraque","Nyctidromus albicollis","Body_Hg_ppm","Peru",6,"1.929 ± 1.161",60.194,"2019—2023","0.452—3.353"
"16","Caprimulgiformes","Caprimulgidae (Nightjars and Allies)","Common Pauraque","Nyctidromus albicollis","Tail_Hg_ppm","Belize",2,"0.475 ± 0.381",80.149,"2019—2021","0.206—0.744"
"17","Caprimulgiformes","Caprimulgidae (Nightjars and Allies)","Common Pauraque","Nyctidromus albicollis","Tail_Hg_ppm","Peru",2,"0.475 ± 0.381",80.149,"2019—2021","0.206—0.744"
"18","Caprimulgiformes","Caprimulgidae (Nightjars and Allies)","Ocellated Poorwill","Nyctiphrynus ocellatus","Body_Hg_ppm","Peru",1,"0.746",NA,"2019","NA"
"19","Caprimulgiformes","Trochilidae (Hummingbirds)","Blue-tailed Emerald","Chlorostilbon mellisugus","Tail_Hg_ppm","Peru",1,"0.314",NA,"2018","NA"
"20","Caprimulgiformes","Trochilidae (Hummingbirds)","Fork-tailed Woodnymph","Thalurania furcata","Body_Hg_ppm","Peru",2,"1.461 ± 0.227",15.515,"2019","1.301—1.621"
"21","Caprimulgiformes","Trochilidae (Hummingbirds)","Fork-tailed Woodnymph","Thalurania furcata","Tail_Hg_ppm","Peru",3,"1.231 ± 0.764",62.118,"2018—2019","0.659—2.099"
"22","Caprimulgiformes","Trochilidae (Hummingbirds)","Great-billed Hermit","Phaethornis malaris","Tail_Hg_ppm","Peru",1,"2.276",NA,"2018","NA"
"23","Caprimulgiformes","Trochilidae (Hummingbirds)","Pale-tailed Barbthroat","Threnetes leucurus","Body_Hg_ppm","Peru",1,"1.492",NA,"2019","NA"
"24","Caprimulgiformes","Trochilidae (Hummingbirds)","Pale-tailed Barbthroat","Threnetes leucurus","Tail_Hg_ppm","Peru",3,"0.76 ± 0.276",36.351,"2018","0.543—1.071"
"25","Caprimulgiformes","Trochilidae (Hummingbirds)","Reddish Hermit","Phaethornis ruber","Body_Hg_ppm","Peru",1,"2.378",NA,"2019","NA"
"26","Caprimulgiformes","Trochilidae (Hummingbirds)","Rufous-breasted Hermit","Glaucis hirsutus","Body_Hg_ppm","Peru",4,"2.085 ± 0.976",46.793,"2019","1.32—3.49"
"27","Caprimulgiformes","Trochilidae (Hummingbirds)","Sapphire-spangled Emerald","Chionomesa lactea","Body_Hg_ppm","Peru",2,"0.309 ± 0.335",108.28,"2019","0.072—0.545"
"28","Caprimulgiformes","Trochilidae (Hummingbirds)","White-bearded Hermit","Phaethornis hispidus","Body_Hg_ppm","Peru",1,"3.108",NA,"2019","NA"
"29","Caprimulgiformes","Trochilidae (Hummingbirds)","White-bearded Hermit","Phaethornis hispidus","Tail_Hg_ppm","Peru",11,"0.878 ± 0.277",31.575,"2018—2019","0.406—1.264"
