"","Trophic_Niche","Tissue_Type","n_Species","n","Mean","CV","Country","Year_Range","Range"
"1","Aquatic predator","Blood_Hg_ppm",11,60,"0.431 ± 0.511",118.639,"Belize","2007—2023","0.017—3.112"
"2","Aquatic predator","Blood_Hg_ppm",11,60,"0.431 ± 0.511",118.639,"Colombia","2007—2023","0.017—3.112"
"3","Aquatic predator","Blood_Hg_ppm",11,60,"0.431 ± 0.511",118.639,"Costa Rica","2007—2023","0.017—3.112"
"4","Aquatic predator","Blood_Hg_ppm",11,60,"0.431 ± 0.511",118.639,"Dominican Republic","2007—2023","0.017—3.112"
"5","Aquatic predator","Blood_Hg_ppm",11,60,"0.431 ± 0.511",118.639,"Mexico","2007—2023","0.017—3.112"
"6","Aquatic predator","Blood_Hg_ppm",11,60,"0.431 ± 0.511",118.639,"Nicaragua","2007—2023","0.017—3.112"
"7","Aquatic predator","Body_Hg_ppm",4,22,"23.958 ± 20.083",83.829,"Belize","2019—2023","1.718—72.795"
"8","Aquatic predator","Body_Hg_ppm",4,22,"23.958 ± 20.083",83.829,"Colombia","2019—2023","1.718—72.795"
"9","Aquatic predator","Body_Hg_ppm",4,22,"23.958 ± 20.083",83.829,"Peru","2019—2023","1.718—72.795"
"10","Aquatic predator","Tail_Hg_ppm",7,54,"4.432 ± 5.812",131.125,"Belize","2007—2021","0.102—25.841"
"11","Aquatic predator","Tail_Hg_ppm",7,54,"4.432 ± 5.812",131.125,"Costa Rica","2007—2021","0.102—25.841"
"12","Aquatic predator","Tail_Hg_ppm",7,54,"4.432 ± 5.812",131.125,"Mexico","2007—2021","0.102—25.841"
"13","Aquatic predator","Tail_Hg_ppm",7,54,"4.432 ± 5.812",131.125,"Nicaragua","2007—2021","0.102—25.841"
"14","Aquatic predator","Tail_Hg_ppm",7,54,"4.432 ± 5.812",131.125,"Panama","2007—2021","0.102—25.841"
"15","Frugivore","Blood_Hg_ppm",9,84,"0.015 ± 0.032",217.994,"Belize","2007—2021","0.001—0.278"
"16","Frugivore","Blood_Hg_ppm",9,84,"0.015 ± 0.032",217.994,"Costa Rica","2007—2021","0.001—0.278"
"17","Frugivore","Blood_Hg_ppm",9,84,"0.015 ± 0.032",217.994,"Dominican Republic","2007—2021","0.001—0.278"
"18","Frugivore","Blood_Hg_ppm",9,84,"0.015 ± 0.032",217.994,"Puerto Rico","2007—2021","0.001—0.278"
"19","Frugivore","Body_Hg_ppm",19,115,"0.435 ± 0.344",79.18,"Belize","2019—2021","0.01—1.24"
"20","Frugivore","Body_Hg_ppm",19,115,"0.435 ± 0.344",79.18,"Peru","2019—2021","0.01—1.24"
"21","Frugivore","Tail_Hg_ppm",15,120,"0.322 ± 0.364",113.187,"Belize","2007—2021","0.008—2.755"
"22","Frugivore","Tail_Hg_ppm",15,120,"0.322 ± 0.364",113.187,"Costa Rica","2007—2021","0.008—2.755"
"23","Frugivore","Tail_Hg_ppm",15,120,"0.322 ± 0.364",113.187,"Nicaragua","2007—2021","0.008—2.755"
"24","Frugivore","Tail_Hg_ppm",15,120,"0.322 ± 0.364",113.187,"Peru","2007—2021","0.008—2.755"
"25","Frugivore","Tail_Hg_ppm",15,120,"0.322 ± 0.364",113.187,"Puerto Rico","2007—2021","0.008—2.755"
"26","Granivore","Blood_Hg_ppm",12,42,"0.008 ± 0.014",179.269,"Belize","2008—2023","0.001—0.091"
"27","Granivore","Blood_Hg_ppm",12,42,"0.008 ± 0.014",179.269,"Colombia","2008—2023","0.001—0.091"
"28","Granivore","Blood_Hg_ppm",12,42,"0.008 ± 0.014",179.269,"Dominican Republic","2008—2023","0.001—0.091"
"29","Granivore","Blood_Hg_ppm",12,42,"0.008 ± 0.014",179.269,"Mexico","2008—2023","0.001—0.091"
"30","Granivore","Blood_Hg_ppm",12,42,"0.008 ± 0.014",179.269,"Nicaragua","2008—2023","0.001—0.091"
"31","Granivore","Body_Hg_ppm",13,42,"0.236 ± 0.359",152.013,"Belize","2019—2023","0.001—1.462"
"32","Granivore","Body_Hg_ppm",13,42,"0.236 ± 0.359",152.013,"Colombia","2019—2023","0.001—1.462"
"33","Granivore","Body_Hg_ppm",13,42,"0.236 ± 0.359",152.013,"Peru","2019—2023","0.001—1.462"
"34","Granivore","Tail_Hg_ppm",9,44,"0.076 ± 0.135",178.409,"Belize","2007—2021","0.001—0.616"
"35","Granivore","Tail_Hg_ppm",9,44,"0.076 ± 0.135",178.409,"Costa Rica","2007—2021","0.001—0.616"
"36","Granivore","Tail_Hg_ppm",9,44,"0.076 ± 0.135",178.409,"Mexico","2007—2021","0.001—0.616"
"37","Granivore","Tail_Hg_ppm",9,44,"0.076 ± 0.135",178.409,"Nicaragua","2007—2021","0.001—0.616"
"38","Granivore","Tail_Hg_ppm",9,44,"0.076 ± 0.135",178.409,"Peru","2007—2021","0.001—0.616"
"39","Invertivore","Blood_Hg_ppm",105,650,"0.146 ± 0.251",171.309,"Belize","2007—2023","0.001—3.195"
"40","Invertivore","Blood_Hg_ppm",105,650,"0.146 ± 0.251",171.309,"Colombia","2007—2023","0.001—3.195"
"41","Invertivore","Blood_Hg_ppm",105,650,"0.146 ± 0.251",171.309,"Costa Rica","2007—2023","0.001—3.195"
"42","Invertivore","Blood_Hg_ppm",105,650,"0.146 ± 0.251",171.309,"Dominican Republic","2007—2023","0.001—3.195"
"43","Invertivore","Blood_Hg_ppm",105,650,"0.146 ± 0.251",171.309,"Mexico","2007—2023","0.001—3.195"
"44","Invertivore","Blood_Hg_ppm",105,650,"0.146 ± 0.251",171.309,"Nicaragua","2007—2023","0.001—3.195"
"45","Invertivore","Blood_Hg_ppm",105,650,"0.146 ± 0.251",171.309,"Puerto Rico","2007—2023","0.001—3.195"
"46","Invertivore","Body_Hg_ppm",105,273,"2.532 ± 3.587",141.669,"Belize","2018—2023","0.008—28.494"
"47","Invertivore","Body_Hg_ppm",105,273,"2.532 ± 3.587",141.669,"Colombia","2018—2023","0.008—28.494"
"48","Invertivore","Body_Hg_ppm",105,273,"2.532 ± 3.587",141.669,"Dominican Republic","2018—2023","0.008—28.494"
"49","Invertivore","Body_Hg_ppm",105,273,"2.532 ± 3.587",141.669,"Peru","2018—2023","0.008—28.494"
"50","Invertivore","Tail_Hg_ppm",112,310,"1.43 ± 1.458",101.968,"Belize","2007—2021","0.001—8.606"
"51","Invertivore","Tail_Hg_ppm",112,310,"1.43 ± 1.458",101.968,"Costa Rica","2007—2021","0.001—8.606"
"52","Invertivore","Tail_Hg_ppm",112,310,"1.43 ± 1.458",101.968,"Dominican Republic","2007—2021","0.001—8.606"
"53","Invertivore","Tail_Hg_ppm",112,310,"1.43 ± 1.458",101.968,"Nicaragua","2007—2021","0.001—8.606"
"54","Invertivore","Tail_Hg_ppm",112,310,"1.43 ± 1.458",101.968,"Panama","2007—2021","0.001—8.606"
"55","Invertivore","Tail_Hg_ppm",112,310,"1.43 ± 1.458",101.968,"Peru","2007—2021","0.001—8.606"
"56","Invertivore","Tail_Hg_ppm",112,310,"1.43 ± 1.458",101.968,"Puerto Rico","2007—2021","0.001—8.606"
"57","Nectarivore","Blood_Hg_ppm",1,26,"0.007 ± 0.007",108.525,"Dominican Republic","2010—2017","0.001—0.032"
"58","Nectarivore","Blood_Hg_ppm",1,26,"0.007 ± 0.007",108.525,"Puerto Rico","2010—2017","0.001—0.032"
"59","Nectarivore","Body_Hg_ppm",6,11,"1.714 ± 1.004",58.562,"Peru","2019","0.072—3.49"
"60","Nectarivore","Tail_Hg_ppm",6,38,"0.544 ± 0.555",102.018,"Peru","2010—2019","0.037—2.276"
"61","Nectarivore","Tail_Hg_ppm",6,38,"0.544 ± 0.555",102.018,"Puerto Rico","2010—2019","0.037—2.276"
"62","Omnivore","Blood_Hg_ppm",22,101,"0.049 ± 0.146",299.363,"Belize","2007—2023","0.001—1.414"
"63","Omnivore","Blood_Hg_ppm",22,101,"0.049 ± 0.146",299.363,"Colombia","2007—2023","0.001—1.414"
"64","Omnivore","Blood_Hg_ppm",22,101,"0.049 ± 0.146",299.363,"Costa Rica","2007—2023","0.001—1.414"
"65","Omnivore","Blood_Hg_ppm",22,101,"0.049 ± 0.146",299.363,"Dominican Republic","2007—2023","0.001—1.414"
"66","Omnivore","Blood_Hg_ppm",22,101,"0.049 ± 0.146",299.363,"Mexico","2007—2023","0.001—1.414"
"67","Omnivore","Blood_Hg_ppm",22,101,"0.049 ± 0.146",299.363,"Nicaragua","2007—2023","0.001—1.414"
"68","Omnivore","Blood_Hg_ppm",22,101,"0.049 ± 0.146",299.363,"Puerto Rico","2007—2023","0.001—1.414"
"69","Omnivore","Body_Hg_ppm",22,93,"1.658 ± 3.666",221.077,"Belize","2010—2023","0.013—20.227"
"70","Omnivore","Body_Hg_ppm",22,93,"1.658 ± 3.666",221.077,"Colombia","2010—2023","0.013—20.227"
"71","Omnivore","Body_Hg_ppm",22,93,"1.658 ± 3.666",221.077,"Peru","2010—2023","0.013—20.227"
"72","Omnivore","Tail_Hg_ppm",28,121,"0.464 ± 0.774",166.911,"Belize","2007—2021","0.001—7.585"
"73","Omnivore","Tail_Hg_ppm",28,121,"0.464 ± 0.774",166.911,"Costa Rica","2007—2021","0.001—7.585"
"74","Omnivore","Tail_Hg_ppm",28,121,"0.464 ± 0.774",166.911,"Mexico","2007—2021","0.001—7.585"
"75","Omnivore","Tail_Hg_ppm",28,121,"0.464 ± 0.774",166.911,"Nicaragua","2007—2021","0.001—7.585"
"76","Omnivore","Tail_Hg_ppm",28,121,"0.464 ± 0.774",166.911,"Peru","2007—2021","0.001—7.585"
"77","Omnivore","Tail_Hg_ppm",28,121,"0.464 ± 0.774",166.911,"Puerto Rico","2007—2021","0.001—7.585"
