"","cond((Int))","disp((Int))","cond(Migratory_Status)","cond(Mining_Present_Yes_No)","cond(Primary_Habitat)","cond(Tissue_Type)","cond(Trophic_Niche)","Rsq.R2_conditional.Conditional R2","Rsq.R2_marginal.Marginal R2","df","logLik","AICc","delta","weight"
"31",-2.06457628622013,"+",NA,"+","+","+","+",0.916116830068305,0.695576236783906,22,-2941.03984247502,5926.52276726178,0,0.677157098875475
"32",-1.82523959068025,"+","+","+","+","+","+",0.914063645040074,0.689624254479404,24,-2940.15849311544,5928.84284074447,2.32007348268962,0.21227159349693
"27",-2.13458178282502,"+",NA,"+",NA,"+","+",0.917098309124543,0.688991429339613,17,-2948.15432718602,5930.5760200339,4.05325277211614,0.0892353187605869
"28",-1.92782465317251,"+","+","+",NA,"+","+",0.915487916173344,0.684274908575025,19,-2947.57883527866,5933.48998363122,6.96721636943948,0.0207863207225816
"29",-1.8802168351952,"+",NA,NA,"+","+","+",0.896290327507213,0.573430149533093,21,-2949.51771969969,5941.43981576699,14.91704850521,0.000390385348307397
"30",-1.6504770567426,"+","+",NA,"+","+","+",0.893727870008736,0.563629616519008,23,-2948.73548717091,5943.95454858623,17.4317813244443,0.000111026389274404
"25",-1.95214085740426,"+",NA,NA,NA,"+","+",0.897609301063098,0.564444286076276,16,-2956.89270185998,5946.02295830511,19.5001910433311,3.9470874868128e-05
"26",-1.75392540366043,"+","+",NA,NA,"+","+",0.895673916563619,0.557316802889423,18,-2956.364460562,5949.02787217295,22.5051049111707,8.78553062356683e-06
"15",-2.69891021057147,"+",NA,"+","+","+",NA,0.917475555776199,0.601607644357378,16,-2974.45624215784,5981.15003890082,54.6272716390413,9.30096732254444e-13
"16",-2.34709416478391,"+","+","+","+","+",NA,0.913924020277995,0.590232610368681,18,-2973.21700129374,5982.73295363644,56.2101863746529,4.21504825640926e-13
"11",-4.05743780773564,"+",NA,"+",NA,"+",NA,0.921584297222666,0.54816041638006,11,-2986.45348461278,5995.02200190529,68.499234643512,9.04210665826553e-16
"13",-2.49631706229342,"+",NA,NA,"+","+",NA,0.899127720817736,0.457736581352806,15,-2983.34859092149,5996.90669733839,70.3839300766076,3.52381591123195e-16
"12",-3.69733956468042,"+","+","+",NA,"+",NA,0.918702337987286,0.538474393689901,13,-2985.42390208981,5997.00654818311,70.4837809213304,3.3522073716755e-16
"14",-2.15834609543797,"+","+",NA,"+","+",NA,0.894806926272867,0.439574085934465,17,-2982.24206705813,5998.75149977812,72.2287325163334,1.40093973154883e-16
"9",-3.84222877693924,"+",NA,NA,NA,"+",NA,0.904898059051834,0.401735741624174,10,-2995.19789021545,6010.49159924623,83.9688319844508,3.95447873358344e-19
"10",-3.49167473300062,"+","+",NA,NA,"+",NA,0.901497194556809,0.387600855836753,12,-2994.22111698051,6012.57824093574,86.0554736739532,1.39309508056205e-19
"20",-1.62003745545424,"+","+","+",NA,NA,"+",NA,0.614448304611371,17,-3877.96183119614,7790.19102805415,1863.66826079237,0
"24",-1.48901640380326,"+","+","+","+",NA,"+",NA,0.614056362290114,22,-3873.37489075634,7791.19286382441,1864.67009656262,0
"18",-1.29805691948178,"+","+",NA,NA,NA,"+",NA,0.39382036134829,16,-3885.96785793558,7804.17327045631,1877.65050319453,0
"22",-1.16698201355949,"+","+",NA,"+",NA,"+",NA,0.401955550749409,21,-3880.94804286737,7804.30046210235,1877.77769484057,0
"23",-0.829468519050686,"+",NA,"+","+",NA,"+",NA,0.591677270009115,20,-3882.04594817512,7804.45935041849,1877.93658315671,0
"19",-0.932778728401174,"+",NA,"+",NA,NA,"+",NA,0.589610238904977,15,-3887.53664939818,7805.28281429178,1878.76004702999,0
"21",-0.502919779690453,"+",NA,NA,"+",NA,"+",NA,0.376353373246478,19,-3889.69027915216,7817.71287137822,1891.19010411644,0
"17",-0.607680198580127,"+",NA,NA,NA,NA,"+",NA,0.364329497444322,14,-3895.56302836374,7819.30930280077,1892.78653553899,0
"8",-2.26796344526402,"+","+","+","+",NA,NA,NA,0.520059808041313,16,-3906.04574224478,7844.32903907471,1917.80627181293,0
"4",-3.42697399815522,"+","+","+",NA,NA,NA,NA,0.504571581765962,11,-3913.25905430862,7848.63314129698,1922.1103740352,0
"7",-1.53351931820616,"+",NA,"+","+",NA,NA,NA,0.477250892140695,14,-3912.26089055293,7852.70502717916,1926.18225991738,0
"3",-2.71197567797336,"+",NA,"+",NA,NA,NA,NA,0.456761985781026,9,-3920.35123812339,7858.78083932906,1932.25807206728,0
"6",-1.93696790355212,"+","+",NA,"+",NA,NA,NA,0.139381018251858,15,-3914.74725675257,7859.70402900056,1933.18126173878,0
"2",-3.07076055423391,"+","+",NA,NA,NA,NA,NA,0.0739708205650144,10,-3921.82769718313,7863.75121318159,1937.22844591981,0
"5",-1.19488669596952,"+",NA,NA,"+",NA,NA,NA,0.0768371620096665,13,-3921.04242879083,7868.24360158516,1941.72083432338,0
"1",-2.3467542546274,"+",NA,NA,NA,NA,NA,NA,0,8,-3928.95762912572,7873.97792143681,1947.45515417503,0
