ORDER,FAMILY,GENUS,SPECIES,NUMB,BAHA,CUBA,HISP,JAMA,PUER,LANT,NANT,MEXI,GUAT,BELI,ELSA,HOND,NICA,COST,PANA,COLO,VENE,TRIN,GUYA,SURI,FREN,ECUA,PERU,BOLI,BRAZ,PARG,URUG,ARGN,CHIL
RHEIFORMES,RHEIDAE,Rhea,americana,1,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,
RHEIFORMES,RHEIDAE,Pterocnemia,(pennata) pennata,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X
RHEIFORMES,RHEIDAE,Pterocnemia,(pennata) tarapacensis,3,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,X,X
TINAMIFORMES,TINAMIDAE,Tinamus,guttatus,4,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,X,,,,
TINAMIFORMES,TINAMIDAE,Tinamus,major,5,,,,,,,,X,X,X,,X,X,X,X,X,X,,X,X,X,X,X,X,X,,,,
TINAMIFORMES,TINAMIDAE,Tinamus,osgoodi,6,,,,,,,,,,,,,,,,X,,,,,,,X,,,,,,
TINAMIFORMES,TINAMIDAE,Tinamus,solitarius,7,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,X,
TINAMIFORMES,TINAMIDAE,Tinamus,tao,8,,,,,,,,,,,,,,,,X,X,,X,,,X,X,X,X,,,,
TINAMIFORMES,TINAMIDAE,Nothocercus,bonapartei,9,,,,,,,,,,,,,,X,X,X,X,,,,,X,X,,,,,,
TINAMIFORMES,TINAMIDAE,Nothocercus,julius,10,,,,,,,,,,,,,,,,X,X,,,,,X,X,,,,,,
TINAMIFORMES,TINAMIDAE,Nothocercus,nigrocapillus,11,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,
TINAMIFORMES,TINAMIDAE,Crypturellus,atrocapillus,12,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,
TINAMIFORMES,TINAMIDAE,Crypturellus,bartletti,13,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,
TINAMIFORMES,TINAMIDAE,Crypturellus,berlepschi,14,,,,,,,,,,,,,,,,X,,,,,,X,,,,,,,
TINAMIFORMES,TINAMIDAE,Crypturellus,boucardi,15,,,,,,,,X,X,X,,X,X,X,,X,,,,,,,,,,,,,
TINAMIFORMES,TINAMIDAE,Crypturellus,brevirostris,16,,,,,,,,,,,,,,,,X,,,,,X,,X,,X,,,
TINAMIFORMES,TINAMIDAE,Crypturellus,casiquiare,17,,,,,,,,,,,,,,,,X,X,,,,,,,,X,,,
TINAMIFORMES,TINAMIDAE,Crypturellus,cinereus,18,,,,,,,,,,,,,,,,X,X,,X,X,X,X,X,X,X,,,
TINAMIFORMES,TINAMIDAE,Crypturellus,cinnamomeus,19,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,,,,
TINAMIFORMES,TINAMIDAE,Crypturellus,duidae,20,,,,,,,,,,,,,,,,X,X,,,,,,,,X,,,
TINAMIFORMES,TINAMIDAE,Crypturellus,(erythropus) columbianus,21,,,,,,,,,,,,,,,,XR,,,,,,,,,,,,
TINAMIFORMES,TINAMIDAE,Crypturellus,(erythropus) erythropus,22,,,,,,,,,,,,,,,,X,X,,X,X,X,,,,X,,,
