GENUS,SPECIES,ORDER,FAMILY,NUMB,SNST,REL,CP,RP,MIN,QMIN,MAX,QMAX,NHAB,NZOO,HAB1,HAB2,HAB3,HAB4,HAB5,HAB6,HAB7,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,GAN,LAN,BSR,MPL,PAS,MAH,GCS,CDH,CHO,EPC,STP,NAN,CAN,SAN,NSA,TEP,AMN,AMS,CSA,ATL,PAM,PAT
Podiceps,occipitalis,PODICIPEDIFORMES,PODICIPEDIDAE,79,M,C,4,3,0,,5000,,1,5,A6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,Y,Y,Y,,,,,Y,,,Y
Phalacrocorax,albiventer,PELECANIFORMES,PHALACROCORACIDAE,172,H,F,4,2,0,,0,,1,2,A11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Y,Y
Phalacrocorax,atriceps,PELECANIFORMES,PHALACROCORACIDAE,173,H,F,4,2,0,,0,,1,2,A11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Y,Y
Theristicus,(caudatus) melanopis,CICONIIFORMES,THRESKIORNITHIDAE,222,L,U/P,3,2,0,,3000,,2,3,N13,N7,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,Y,,,Y,,,,,,,,Y
Chloephaga,picta,ANSERIFORMES,ANATIDAE,254,L,F,4,3,0,,1500,,2,3,N7,N13,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,Y,Y
Chloephaga,poliocephala,ANSERIFORMES,ANATIDAE,255,L,F,4,3,0,,1500,?,2,3,N7,N13,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,Y,Y
Chloephaga,rubidiceps,ANSERIFORMES,ANATIDAE,256,L,R,2,1,0,,0,,2,2,N7,N13,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y
Anas,platalea,ANSERIFORMES,ANATIDAE,281,M,F,4,3,0,,3500,,2,6,A1,A6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,,,,,,,,,,,,,,,,,Y,,Y,Y,,,,,Y,,Y,Y
Anas,sibilatrix,ANSERIFORMES,ANATIDAE,284,M,F,3,2,0,,1200,,2,4,A6,A8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,,Y,,,,,,,,Y,,Y,Y
Anas,specularis,ANSERIFORMES,ANATIDAE,286,M,U,2,1,0,,1800,,2,1,A8,A6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,Y,,,,,,,,
Oxyura,vittata,ANSERIFORMES,ANATIDAE,312,M,F,4,3,0,,800,,1,4,A6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,Y,,,,,,,,Y,,Y,Y
Harpagus,diodon,FALCONIFORMES,ACCIPITRIDAE,331,0,,4,2,0,,0,,1,4,F1,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,,
Falco,peregrinus,FALCONIFORMES,FALCONIDAE,415,M,R,3,2,0,,2600,,3,9,A11,N2,F7E,,,,,,,,,,,E,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,,Y,,,,Y,Y,Y,Y,Y,,,,,Y,,,Y
Fulica,armillata,GRUIFORMES,RALLIDAE,563,M,C,4,3,0,,1000,,2,6,A1,A6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,,,,,,,,,,,,,,,,,Y,,,Y,,,,,Y,Y,Y,Y
Fulica,rufifrons,GRUIFORMES,RALLIDAE,568,M,U,4,3,0,,0,,1,4,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,Y,Y,Y,
Haematopus,leucopodus,CHARADRIIFORMES,HAEMATOPODIDAE,578,L,C,4,3,0,,1000,,2,3,A3,A6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,Y,,,,,,,,,,Y,Y
Charadrius,falklandicus,CHARADRIIFORMES,CHARADRIIDAE,594,M,F,4,3,0,,1200,,4,3,A3,A4,A6,A7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,Y,Y,,,,,,,,,,,,,,,,Y,,,,,,,,,,Y,Y
Charadrius,modestus,CHARADRIIFORMES,CHARADRIIDAE,597,M,F,4,3,0,,1000,,2,3,N7,A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,Y,Y
Eudromias,ruficollis,CHARADRIIFORMES,CHARADRIIDAE,603,L,F,3,2,0,,4500,,4,7,N7,N1,N9,N13,,,,,,,,,,,,,,,,,,,Y,,,,,,,Y,Y,,,,Y,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,Y,Y,,,,,Y,,Y,Y
Chionis,alba,CHARADRIIFORMES,CHIONIDIDAE,656,H,F,4,3,0,,0,,2,2,A4,A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y
Larus,modestus,CHARADRIIFORMES,LARIDAE,683,H,C,4,2,0,,0,,2,2,A11,A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,Y,,,,,,,,,,,Y,Y,,,,,,,,,,,
Sterna,hirundinacea,CHARADRIIFORMES,LARIDAE,703,H,F,4,2,0,,0,,1,4,A11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,Y,,,,,,,,,Y,Y,Y
Thalasseus,maximus,CHARADRIIFORMES,LARIDAE,712.01,H,C,4,2,0,,0,,1,8,A11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,Y,Y,,Y,,Y,,,,,,,,Y,,,,,Y,Y,
Columbina,picui,COLUMBIFORMES,COLUMBIDAE,757,L,C,4,3,0,,1250,,3,6,N14,N11,N1,,,,,,,,,,,,,,,,,,,,Y,,,Y,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,Y,Y,,Y,Y
Cyanoliseus,patagonus,PSITTACIFORMES,PSITTACIDAE,839,M,U/P,3,2,0,,1800,+,3,3,N1,N2,N13,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,Y,,,Y
Coccyzus,cinereus,CUCULIFORMES,CUCULIDAE,949,M,U,4,3,0,,1200,,3,4,F7,F8,F3,,,,,,,Y,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,
Chaetura,andrei,APODIFORMES,APODIDAE,1096,L,C,4,3,0,,900,,3,4,F1E,F15,N14,,,,,E,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,Q,Y,,,
Geositta,cunicularia,PASSERIFORMES,FURNARIIDAE,1753,M,F,4,3,0,,4800,,4,6,N7,N9,N1,N13,,,,,,,,,,,,,,,,,,,Y,,,,,,Y,,Y,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,Y,,,,,Y,,Y,Y
Upucerthia,dumetaria,PASSERIFORMES,FURNARIIDAE,1763,M,F,4,3,0,,4000,,3,5,N2,N1,N9,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,Y,,Y,Y
Cinclodes,fuscus,PASSERIFORMES,FURNARIIDAE,1775.5,M,C,4,3,0,,4900,,4,6,N10,N9,N7,N2,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,,,,,Y,,Y,Y
Asthenes,pyrrholeuca,PASSERIFORMES,FURNARIIDAE,1896,M,C,4,3,0,,3000,,3,5,N1,N2,N7,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,Y,,,,,Y,,Y,Y
Elaenia,albiceps,PASSERIFORMES,TYRANNIDAE,2321,L,C,4,3,0,,3300,,4,6,F4E,F1E,F15,N3,,,,E,,,E,,,,,,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,Y,Y,Y,Y,,
Elaenia,parvirostris,PASSERIFORMES,TYRANNIDAE,2333,L,C,4,3,0,,750,+,3,4,F8,F1E,F15,,,,,E,,,,,,,Y,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,Y,Y,,,
Elaenia,spectabilis,PASSERIFORMES,TYRANNIDAE,2337,L,C,4,3,0,,800,+,3,2,F3,F8,F15,,,,,,,Y,,,,,Y,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,
